
begin: 2013-07-19 19:11:45.099663 +0900 +0900

      :4(000000000100)--1280(010100000000)	897(001110000001)--3106(110000100010)	0(000000000000)--256(000100000000)
      :64(000001000000)--8(000000001000)	151(000010010111)--1640(011001101000)	0(000000000000)--0(000000000000)
      :64(000001000000)--8(000000001000)	151(000010010111)--1640(011001101000)	0(000000000000)--8(000000001000)
      :64(000001000000)--8(000000001000)	151(000010010111)--1640(011001101000)	64(000001000000)--0(000000000000)
      :64(000001000000)--8(000000001000)	151(000010010111)--2664(101001101000)	0(000000000000)--0(000000000000)
      :64(000001000000)--8(000000001000)	151(000010010111)--2664(101001101000)	0(000000000000)--8(000000001000)
      :64(000001000000)--8(000000001000)	151(000010010111)--2664(101001101000)	64(000001000000)--0(000000000000)
      :64(000001000000)--8(000000001000)	151(000010010111)--3848(111100001000)	64(000001000000)--0(000000000000)
      :64(000001000000)--8(000000001000)	151(000010010111)--3848(111100001000)	0(000000000000)--8(000000001000)
      :64(000001000000)--8(000000001000)	151(000010010111)--3848(111100001000)	0(000000000000)--0(000000000000)
      :129(000010000001)--2(000000000010)	1065(010000101001)--2256(100011010000)	0(000000000000)--2(000000000010)
      :129(000010000001)--2(000000000010)	1065(010000101001)--2256(100011010000)	1(000000000001)--0(000000000000)
      :129(000010000001)--2(000000000010)	1065(010000101001)--2256(100011010000)	128(000010000000)--0(000000000000)
      :129(000010000001)--2(000000000010)	1065(010000101001)--2436(100110000100)	0(000000000000)--2(000000000010)
      :129(000010000001)--2(000000000010)	1065(010000101001)--2436(100110000100)	1(000000000001)--0(000000000000)
      :129(000010000001)--2(000000000010)	1065(010000101001)--2436(100110000100)	128(000010000000)--0(000000000000)
      :129(000010000001)--2(000000000010)	1065(010000101001)--2752(101011000000)	0(000000000000)--2(000000000010)
      :129(000010000001)--2(000000000010)	1065(010000101001)--2752(101011000000)	1(000000000001)--0(000000000000)
      :129(000010000001)--2(000000000010)	1065(010000101001)--2752(101011000000)	128(000010000000)--0(000000000000)
    :197(000011000101)--1290(010100001010)	114(000001110010)--1161(010010001001)	4(000000000100)--256(000100000000)
    :197(000011000101)--1290(010100001010)	114(000001110010)--1161(010010001001)	64(000001000000)--1032(010000001000)
    :197(000011000101)--1290(010100001010)	114(000001110010)--1161(010010001001)	129(000010000001)--2(000000000010)
      :4(000000000100)--256(000100000000)	201(000011001001)--788(001100010100)	0(000000000000)--0(000000000000)
      :4(000000000100)--256(000100000000)	201(000011001001)--788(001100010100)	0(000000000000)--256(000100000000)
      :4(000000000100)--256(000100000000)	201(000011001001)--788(001100010100)	4(000000000100)--0(000000000000)
      :4(000000000100)--256(000100000000)	201(000011001001)--2596(101000100100)	0(000000000000)--256(000100000000)
      :4(000000000100)--256(000100000000)	201(000011001001)--2596(101000100100)	0(000000000000)--0(000000000000)
      :4(000000000100)--256(000100000000)	201(000011001001)--2596(101000100100)	4(000000000100)--0(000000000000)
      :4(000000000100)--256(000100000000)	201(000011001001)--3588(111000000100)	0(000000000000)--256(000100000000)
      :4(000000000100)--256(000100000000)	201(000011001001)--3588(111000000100)	0(000000000000)--0(000000000000)
      :4(000000000100)--256(000100000000)	201(000011001001)--3588(111000000100)	4(000000000100)--0(000000000000)
      :64(000001000000)--1032(010000001000)	21(000000010101)--1120(010001100000)	0(000000000000)--8(000000001000)
      :64(000001000000)--1032(010000001000)	21(000000010101)--1120(010001100000)	0(000000000000)--1024(010000000000)
      :64(000001000000)--1032(010000001000)	21(000000010101)--1120(010001100000)	64(000001000000)--0(000000000000)
      :64(000001000000)--1032(010000001000)	21(000000010101)--1344(010101000000)	0(000000000000)--8(000000001000)
      :64(000001000000)--1032(010000001000)	21(000000010101)--1344(010101000000)	0(000000000000)--1024(010000000000)
      :64(000001000000)--1032(010000001000)	21(000000010101)--1344(010101000000)	64(000001000000)--0(000000000000)
      :64(000001000000)--1032(010000001000)	21(000000010101)--328(000101001000)	0(000000000000)--1024(010000000000)
      :64(000001000000)--1032(010000001000)	21(000000010101)--328(000101001000)	0(000000000000)--8(000000001000)
      :64(000001000000)--1032(010000001000)	21(000000010101)--328(000101001000)	64(000001000000)--0(000000000000)
      :129(000010000001)--2(000000000010)	33(000000100001)--136(000010001000)	0(000000000000)--2(000000000010)
      :129(000010000001)--2(000000000010)	33(000000100001)--136(000010001000)	1(000000000001)--0(000000000000)
      :129(000010000001)--2(000000000010)	33(000000100001)--136(000010001000)	128(000010000000)--0(000000000000)
      :129(000010000001)--2(000000000010)	33(000000100001)--640(001010000000)	0(000000000000)--2(000000000010)
      :129(000010000001)--2(000000000010)	33(000000100001)--640(001010000000)	1(000000000001)--0(000000000000)
      :129(000010000001)--2(000000000010)	33(000000100001)--640(001010000000)	128(000010000000)--0(000000000000)
      :129(000010000001)--2(000000000010)	33(000000100001)--132(000010000100)	0(000000000000)--2(000000000010)
      :129(000010000001)--2(000000000010)	33(000000100001)--132(000010000100)	1(000000000001)--0(000000000000)
      :129(000010000001)--2(000000000010)	33(000000100001)--132(000010000100)	128(000010000000)--0(000000000000)
